variable,description
v2x_libdem_sd,Standard deviation of the posterior distribution - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal.
e_v2x_libdem_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal."
e_v2x_libdem_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal."
e_v2x_libdem_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal."
v2x_partipdem,"Index estimate (Point Estimate, Median value) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip."
v2x_partipdem_codelow,Lower bound (HPD Interval 68/70%) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip.
v2x_partipdem_codehigh,Upper bound (HPD Interval 68/70%) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip.
v2x_partipdem_sd,Standard deviation of the posterior distribution - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip.
e_v2x_partipdem_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip."
e_v2x_partipdem_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip."
e_v2x_partipdem_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Participatory democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Participatory Component (v2x_partip). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_partip + 0.5 * v2x_polyarchy^1.585 * v2x_partip."
v2x_delibdem,"Index estimate (Point Estimate, Median value) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib."
v2x_delibdem_codelow,Lower bound (HPD Interval 68/70%) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib.
v2x_delibdem_codehigh,Upper bound (HPD Interval 68/70%) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib.
v2x_delibdem_sd,Standard deviation of the posterior distribution - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib.
e_v2x_delibdem_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib."
e_v2x_delibdem_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib."
e_v2x_delibdem_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Deliberative democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Deliberative Component (v2xdl_delib). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2xdl_delib + 0.5 * v2x_polyarchy^1.585 * v2xdl_delib."
v2x_egaldem,"Index estimate (Point Estimate, Median value) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal."
v2x_egaldem_codelow,Lower bound (HPD Interval 68/70%) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal.
v2x_egaldem_codehigh,Upper bound (HPD Interval 68/70%) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal.
v2x_egaldem_sd,Standard deviation of the posterior distribution - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal.
e_v2x_egaldem_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal."
e_v2x_egaldem_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal."
e_v2x_egaldem_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Egalitarian democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Egalitarian Component (v2x_egal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_egal + 0.5 * v2x_polyarchy^1.585 * v2x_egal."
v2x_api,"Index estimate (Point Estimate, Median value) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr."
v2x_api_codelow,Lower bound (HPD Interval 68/70%) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr.
v2x_api_codehigh,Upper bound (HPD Interval 68/70%) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr.
v2x_api_sd,Standard deviation of the posterior distribution - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr.
e_v2x_api_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr."
e_v2x_api_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr."
e_v2x_api_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Additive polyarchy index (D). Weighted average of five polyarchy sub-components. Formula: 0.25 * v2x_frassoc_thick + 0.25 * v2xel_frefair + 0.25 * v2x_freexp_altinf + 0.125 * v2x_elecoff + 0.125 * v2x_suffr."
v2x_mpi,"Index estimate (Point Estimate, Median value) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr."
v2x_mpi_codelow,Lower bound (HPD Interval 68/70%) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr.
v2x_mpi_codehigh,Upper bound (HPD Interval 68/70%) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr.
v2x_mpi_sd,Standard deviation of the posterior distribution - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr.
e_v2x_mpi_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr."
e_v2x_mpi_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr."
e_v2x_mpi_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Multiplicative polyarchy index (D). Multiplicative chain of five polyarchy sub-components. Formula: v2x_frassoc_thick * v2xel_frefair * v2x_freexp_altinf * v2x_elecoff * v2x_suffr."
v2x_freexp_altinf,"Index estimate (Point Estimate, Median value) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
v2x_freexp_altinf_codelow,"Lower bound (HPD Interval 68/70%) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
v2x_freexp_altinf_codehigh,"Upper bound (HPD Interval 68/70%) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
v2x_freexp_altinf_sd,"Standard deviation of the posterior distribution - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
e_v2x_freexp_altinf_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
e_v2x_freexp_altinf_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
e_v2x_freexp_altinf_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Freedom of Expression and Alternative Sources of Information index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from media censorship (v2mecenefm), harassment of journalists (v2meharjrn), media bias (v2mebias), self-censorship (v2meslfcen), media critical (v2mecrit), media perspectives (v2merange), freedom of discussion for men/women (v2cldiscm/w), and academic freedom (v2clacfree)."
v2x_frassoc_thick,"Index estimate (Point Estimate, Median value) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
v2x_frassoc_thick_codelow,"Lower bound (HPD Interval 68/70%) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
v2x_frassoc_thick_codehigh,"Upper bound (HPD Interval 68/70%) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
v2x_frassoc_thick_sd,"Standard deviation of the posterior distribution - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
e_v2x_frassoc_thick_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
e_v2x_frassoc_thick_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
e_v2x_frassoc_thick_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Freedom of association thick index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from party ban (v2psparban), barriers to parties (v2psbars), opposition autonomy (v2psoppaut), elections multiparty (v2elmulpar), CSO entry/exit (v2cseeorgs), and CSO repression (v2csreprss)."
v2x_suffr,"Index estimate (Point Estimate, Median value) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih."
v2x_suffr_codelow,Lower bound (HPD Interval 68/70%) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih.
v2x_suffr_codehigh,Upper bound (HPD Interval 68/70%) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih.
v2x_suffr_sd,Standard deviation of the posterior distribution - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih.
e_v2x_suffr_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih."
e_v2x_suffr_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih."
e_v2x_suffr_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Share of population with suffrage: Persentase de jure populasi dewasa yang memiliki hak pilih."
v2xel_frefair,"Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
v2xel_frefair_codelow,"Lower bound (HPD Interval 68/70%) - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
v2xel_frefair_codehigh,"Upper bound (HPD Interval 68/70%) - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
v2xel_frefair_sd,"Standard deviation of the posterior distribution - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
e_v2xel_frefair_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
e_v2xel_frefair_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
e_v2xel_frefair_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Clean elections index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from EMB autonomy (v2elembaut), EMB capacity (v2elembcap), voter registry (v2elrgstry), vote buying (v2elvotbuy), other voting irregularities (v2elirreg), government intimidation (v2elintim), non-state electoral violence (v2elpeace), and free & fair election (v2elfrfair)."
v2x_elecoff,"Index estimate (Point Estimate, Median value) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
v2x_elecoff_codelow,"Lower bound (HPD Interval 68/70%) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
v2x_elecoff_codehigh,"Upper bound (HPD Interval 68/70%) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
v2x_elecoff_sd,"Standard deviation of the posterior distribution - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
e_v2x_elecoff_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
